assemblydist,address,boro_name,communityboard,congressionaldist,coundist,gardenname,juris,multipolygon,openhrsf,openhrsm,openhrssa,openhrssu,openhrsth,openhrstu,openhrsw,parksid,policeprecinct,statesenatedist,status,zipcode
55,239 Herzl Street,Brooklyn,316,8,41,Brownsville Community Farm (James McKeather),DPR,"MULTIPOLYGON (((-73.91411549931186 40.66423004779161, -73.91411536420662 40.66422935519359, -73.91412248233519 40.66422831050552, -73.91409055403297 40.664102320618845, -73.91372070003752 40.664154083760174, -73.91373499547528 40.66421321789105, -73.91375196229407 40.66428340516084, -73.91411549931186 40.66423004779161)))",,,9:00 a.m. - 7:00 p.m.,9:00 a.m. - 7:00 p.m.,,,,B566-GT001,73,25,Active,11212
55,1418 Eastern Parkway,Brooklyn,316,8,41,Brownsville Green Community Garden,DPR,"MULTIPOLYGON (((-73.9209212245133 40.66892130644004, -73.92134761687936 40.66876493689154, -73.92131590669771 40.66864816421775, -73.92116844329027 40.66864295733947, -73.92117126127357 40.66866122173365, -73.92103069079127 40.668674661882655, -73.92103831249294 40.66872407932399, -73.92096080354703 40.66873373366, -73.92095696240433 40.668708661557865, -73.92089013012178 40.66871966585071, -73.9209212245133 40.66892130644004)))",6:30 a.m. - 9:00 a.m. &  5:00 p.m. - 7:00 p.m.,6:30 a.m. - 9:00 a.m. &  5:00 p.m. - 7:00 p.m.,,,6:30 a.m. - 9:00 a.m.,6:30 a.m. - 9:00 a.m.,6:30 a.m. - 9:00 a.m.,B554-GT001,73,25,Active,11233
56,340 Tompkins Avenue,Brooklyn,303,8,36,Feeding Tree Garden,DPR,"MULTIPOLYGON (((-73.9448695820924 40.68592071808933, -73.94456253018166 40.68595600129163, -73.94457350324541 40.68601025803489, -73.94488024306774 40.685975009774, -73.9448695820924 40.68592071808933)))",,,,,,,,B546-GT001,79,25,Active,11216
53,104 Moore Street,Brooklyn,301,7,34,Nos Cuidamos Community Garden,DPR,"MULTIPOLYGON (((-73.94124763864957 40.70353535784191, -73.94129200252556 40.70380234532425, -73.94138065915409 40.70379402475379, -73.94133629492933 40.703527036404836, -73.94124763864957 40.70353535784191)))",2 p.m. to 6 p.m.,,1 p.m. to 6 p.m.,1 p.m. to 6 p.m.,,,,B545-GT001,90,18,Active,11206
57,100 Quincy Street,Brooklyn,303,8,36,100 Quincy Community Garden,DPR,"MULTIPOLYGON (((-73.95730985872362 40.68611105135282, -73.95725289818583 40.68582397342743, -73.95716376580654 40.68583422144818, -73.95722057385665 40.68612053482462, -73.95730985872362 40.68611105135282)))",Closed,Closed,9:00 a.m. to 1:00 p.m.,9:00 am - 1:00 pm,Closed,10:00 a.m. to 12:00 a.m.,Closed,B544-GT001,79,25,Active,11238
60,479 Milford Street,Brooklyn,305,8,42,Go Vertical,PRI,"MULTIPOLYGON (((-73.87415136188852 40.66756268931877, -73.87419341113323 40.66761954260038, -73.87450456496 40.667486758180004, -73.87446251553379 40.66742990501124, -73.87415136188852 40.66756268931877)))",,,,,,,,BGT081,75,19,Active,11208
56,900 Broadway,Brooklyn,303,8,36,Miraflores Community Garden,NYRP,"MULTIPOLYGON (((-73.93698507538815 40.69770696093321, -73.93691432260135 40.697782006912334, -73.93697409411058 40.69781482732185, -73.93708705161832 40.69769501739105, -73.93698507538815 40.69770696093321)))",,,,,,,,BGT059,81,25,Active,11206
55,1642 St. John's Place,Brooklyn,308,9,41,St. John's Place Renaissance Garden,BQLT,"MULTIPOLYGON (((-73.92342792183388 40.67003681239879, -73.92348994663091 40.67003781901764, -73.92352055812877 40.6697097886751, -73.9234625323029 40.66970669823794, -73.92334326752349 40.66970034583793, -73.9233582545846 40.66975991683879, -73.92336123669678 40.669771768712806, -73.92342792183388 40.67003681239879)))",,,,,,,,BGT053,77,20,Active,11233
51,274 15th Street,Brooklyn,307,10,39,6/15 Green Community Garden,BANG,"MULTIPOLYGON (((-73.98770200800017 40.66436796478706, -73.98762709440852 40.6643318433592, -73.98730094045055 40.664174580415676, -73.9871092023336 40.66440251482093, -73.98751001638463 40.66459620240135, -73.98770200800017 40.66436796478706)))",,,,,,,,BGT052,72,20,Active,11215
53,1034 Flushing Avenue,Brooklyn,304,7,34,La Finca Community Garden,BQLT,"MULTIPOLYGON (((-73.92938949677895 40.704104799468354, -73.9296550544646 40.70425488649135, -73.92972871873313 40.70422611330561, -73.92973443543865 40.70422029048358, -73.92943966793736 40.70405369466629, -73.92943565225943 40.70405778323015, -73.92938949677895 40.704104799468354)))",,,,,,,,BGT039,83,18,Active,11237
